customer_id,segment,interval,score,duration,promo,robocats
cst_4081358783,Segment 0,До внедрения роботов,0,0.18,0,0
cst_5379256267,Segment 0,До внедрения роботов,2,0.88,0,0
cst_0823600253,Segment 0,До внедрения роботов,0,0.22,0,0
cst_0927762526,Segment 0,До внедрения роботов,0,0.63,0,0
cst_2544384444,Segment 0,До внедрения роботов,2,0.13,0,0
cst_9656754738,Segment 0,До внедрения роботов,5,0.23,0,0
cst_2080508732,Segment 0,До внедрения роботов,0,0.55,0,0
cst_0680366029,Segment 0,До внедрения роботов,1,1.96,0,0
cst_5278573152,Segment 0,До внедрения роботов,3,0.25,0,0
cst_1988020076,Segment 0,До внедрения роботов,3,0.9,0,0
cst_5344788888,Segment 0,До внедрения роботов,0,0.48,0,0
cst_4494843866,Segment 0,До внедрения роботов,2,0.02,0,0
cst_2851202812,Segment 0,До внедрения роботов,0,0.09,0,0
cst_8924865148,Segment 0,До внедрения роботов,0,0.53,0,0
cst_2303473899,Segment 0,До внедрения роботов,1,0.48,0,0
cst_1203159394,Segment 0,До внедрения роботов,3,1.75,0,0
cst_3548743809,Segment 0,До внедрения роботов,0,0.63,0,0
cst_2036598596,Segment 0,До внедрения роботов,6,0.06,0,0
cst_8002312713,Segment 0,До внедрения роботов,6,0.24,0,0
cst_0921741896,Segment 0,До внедрения роботов,1,0.09,0,0
cst_6342399812,Segment 0,До внедрения роботов,0,0.55,0,0
cst_1368819439,Segment 0,До внедрения роботов,9,0.56,1,0
cst_1434648399,Segment 0,До внедрения роботов,3,0.18,0,0
cst_6747986765,Segment 0,До внедрения роботов,2,3.3,0,0
cst_3819643649,Segment 0,До внедрения роботов,0,0.48,0,0
cst_5207512228,Segment 0,До внедрения роботов,1,0.15,0,0
cst_8470365695,Segment 0,До внедрения роботов,3,0.8,0,0
cst_8386688336,Segment 0,До внедрения роботов,0,0.1,0,0
cst_6928216368,Segment 0,До внедрения роботов,3,1.38,0,0
cst_9379792624,Segment 0,До внедрения роботов,2,0.13,0,0
cst_8224575133,Segment 0,До внедрения роботов,2,0.03,0,0
cst_3470439593,Segment 0,До внедрения роботов,0,0.19,0,0
cst_1999241814,Segment 0,До внедрения роботов,0,0.45,0,0
cst_6602618348,Segment 0,До внедрения роботов,4,0.55,0,0
cst_9617759893,Segment 0,До внедрения роботов,0,0.45,0,0
cst_5578120877,Segment 0,До внедрения роботов,0,0.34,0,0
cst_8013555742,Segment 0,До внедрения роботов,3,0.28,0,0
cst_4894990825,Segment 0,До внедрения роботов,0,0.22,0,0
cst_7621162842,Segment 0,До внедрения роботов,1,0.06,0,0
cst_4197514569,Segment 0,До внедрения роботов,3,1.1,0,0
cst_3108594333,Segment 0,До внедрения роботов,4,0.42,0,0
cst_4633642660,Segment 0,До внедрения роботов,0,1.24,0,0
cst_9920401654,Segment 0,До внедрения роботов,3,0.8,0,0
cst_6652046483,Segment 0,До внедрения роботов,3,0.35,0,0
cst_4418558379,Segment 0,До внедрения роботов,0,0.08,0,0
cst_4051362247,Segment 0,До внедрения роботов,3,1.35,0,0
cst_6030285262,Segment 0,До внедрения роботов,2,0.0,0,0
cst_9623247278,Segment 0,До внедрения роботов,0,0.36,0,0
cst_6671608987,Segment 0,До внедрения роботов,1,0.23,0,0
cst_7827235324,Segment 0,До внедрения роботов,2,0.66,0,0
cst_1025861178,Segment 0,До внедрения роботов,4,0.37,0,0
cst_0697500817,Segment 0,До внедрения роботов,0,0.09,0,0
cst_2197113266,Segment 0,До внедрения роботов,5,0.28,0,0
cst_7981176779,Segment 0,До внедрения роботов,0,1.62,0,0
cst_6208970767,Segment 0,До внедрения роботов,0,0.85,0,0
cst_1160755322,Segment 0,До внедрения роботов,2,0.55,0,0
cst_8366452687,Segment 0,До внедрения роботов,0,3.14,0,0
cst_8643379041,Segment 0,До внедрения роботов,0,0.98,0,0
cst_7210003814,Segment 0,До внедрения роботов,3,0.08,0,0
cst_8823327673,Segment 0,До внедрения роботов,4,0.66,0,0
cst_2493805535,Segment 0,До внедрения роботов,3,0.19,0,0
cst_3737055622,Segment 0,До внедрения роботов,0,0.03,0,0
cst_1490873065,Segment 0,До внедрения роботов,0,0.22,0,0
cst_0549189715,Segment 0,До внедрения роботов,0,0.16,0,0
cst_8687930649,Segment 0,До внедрения роботов,0,0.13,0,0
cst_2806389308,Segment 0,До внедрения роботов,0,0.9,1,0
cst_6842327780,Segment 0,До внедрения роботов,0,0.05,0,0
cst_6785430470,Segment 0,До внедрения роботов,0,0.23,0,0
cst_6956019937,Segment 0,До внедрения роботов,6,0.62,0,0
cst_4343942125,Segment 0,До внедрения роботов,4,0.25,0,0
cst_8702514613,Segment 0,До внедрения роботов,3,0.76,0,0
cst_7323962085,Segment 0,До внедрения роботов,0,0.14,0,0
cst_1005440450,Segment 0,До внедрения роботов,4,2.1,0,0
cst_3125978428,Segment 0,До внедрения роботов,0,0.75,0,0
cst_7904920415,Segment 0,До внедрения роботов,2,0.91,0,0
cst_8816146245,Segment 0,До внедрения роботов,0,0.12,0,0
cst_4949971758,Segment 0,До внедрения роботов,3,0.11,0,0
cst_1558371096,Segment 0,До внедрения роботов,0,0.38,0,0
cst_5316847001,Segment 0,До внедрения роботов,1,0.48,0,0
cst_6814341150,Segment 0,До внедрения роботов,2,1.29,0,0
cst_1764655320,Segment 0,До внедрения роботов,0,0.34,0,0
cst_3930909361,Segment 0,До внедрения роботов,3,0.17,0,0
cst_1388769208,Segment 0,До внедрения роботов,7,0.01,0,0
cst_2627871067,Segment 0,До внедрения роботов,4,0.24,0,0
cst_8085158664,Segment 0,До внедрения роботов,3,1.02,0,0
cst_0912796203,Segment 0,До внедрения роботов,0,0.22,0,0
cst_6324300137,Segment 0,До внедрения роботов,3,0.96,0,0
cst_8578950037,Segment 0,До внедрения роботов,1,0.08,0,0
cst_9739005818,Segment 0,До внедрения роботов,2,0.81,0,0
cst_7672067343,Segment 0,До внедрения роботов,0,0.47,0,0
cst_4444956278,Segment 0,До внедрения роботов,1,0.58,0,0
cst_1108721950,Segment 0,До внедрения роботов,2,0.42,0,0
cst_4132904573,Segment 0,До внедрения роботов,2,0.13,0,0
cst_7844409453,Segment 0,До внедрения роботов,3,0.51,0,0
cst_9943158683,Segment 0,До внедрения роботов,6,0.05,1,0
cst_9460450857,Segment 0,До внедрения роботов,3,0.31,0,0
cst_5808241465,Segment 0,До внедрения роботов,2,0.12,0,0
cst_3157917787,Segment 0,До внедрения роботов,2,0.04,0,0
cst_3736803848,Segment 0,До внедрения роботов,0,0.17,0,0
cst_3831235942,Segment 0,До внедрения роботов,0,0.28,0,0
cst_2837394958,Segment 0,До внедрения роботов,0,1.92,0,0
cst_7540869152,Segment 0,До внедрения роботов,0,0.07,0,0
cst_3736679875,Segment 0,До внедрения роботов,2,0.2,0,0
cst_9238383116,Segment 0,До внедрения роботов,1,0.51,0,0
cst_5732189264,Segment 0,До внедрения роботов,0,0.04,0,0
cst_6502668369,Segment 0,До внедрения роботов,6,0.35,0,0
cst_5510247361,Segment 0,До внедрения роботов,0,0.96,0,0
cst_3344330423,Segment 0,До внедрения роботов,2,0.04,0,0
cst_4042227511,Segment 0,До внедрения роботов,3,0.03,0,0
cst_8636100659,Segment 0,До внедрения роботов,0,0.34,0,0
cst_0377306375,Segment 0,До внедрения роботов,1,0.12,0,0
cst_4819780980,Segment 0,До внедрения роботов,0,0.15,0,0
cst_1748451197,Segment 0,До внедрения роботов,2,0.02,0,0
cst_3418364213,Segment 0,До внедрения роботов,3,0.09,0,0
cst_6187029377,Segment 0,До внедрения роботов,0,0.05,0,0
cst_3779462132,Segment 0,До внедрения роботов,5,0.62,0,0
cst_6627520044,Segment 0,До внедрения роботов,4,1.0,0,0
cst_9132837871,Segment 0,До внедрения роботов,3,0.33,0,0
cst_7180710027,Segment 0,До внедрения роботов,0,0.19,0,0
cst_3435843690,Segment 0,До внедрения роботов,0,0.61,0,0
cst_4140625224,Segment 0,До внедрения роботов,0,0.04,0,0
cst_1774778669,Segment 0,До внедрения роботов,0,0.59,0,0
cst_1744202955,Segment 0,До внедрения роботов,3,0.33,0,0
cst_3398684811,Segment 0,До внедрения роботов,2,1.14,0,0
cst_5199100345,Segment 0,До внедрения роботов,5,0.13,0,0
cst_0541296772,Segment 0,До внедрения роботов,5,0.81,0,0
cst_1007419776,Segment 0,До внедрения роботов,6,0.81,0,0
cst_9742992377,Segment 0,До внедрения роботов,3,0.87,0,0
cst_4610345777,Segment 0,До внедрения роботов,0,0.49,0,0
cst_5095300697,Segment 0,До внедрения роботов,2,0.15,0,0
cst_5725497323,Segment 0,До внедрения роботов,4,0.03,0,0
cst_4063861845,Segment 0,До внедрения роботов,3,0.28,0,0
cst_2599903045,Segment 0,До внедрения роботов,6,0.49,0,0
cst_6253175612,Segment 0,До внедрения роботов,7,0.06,0,0
cst_3969486233,Segment 0,До внедрения роботов,0,1.18,0,0
cst_0322108746,Segment 0,До внедрения роботов,2,0.08,0,0
cst_4457197319,Segment 0,До внедрения роботов,2,0.42,0,0
cst_1663993443,Segment 0,До внедрения роботов,0,0.22,0,0
cst_4464842548,Segment 0,До внедрения роботов,2,0.72,0,0
cst_6572897979,Segment 0,До внедрения роботов,1,0.83,0,0
cst_8485755245,Segment 0,До внедрения роботов,7,0.43,0,0
cst_7948703020,Segment 0,До внедрения роботов,3,0.32,0,0
cst_3761974920,Segment 0,До внедрения роботов,2,0.39,0,0
cst_7670119835,Segment 0,До внедрения роботов,0,0.34,0,0
cst_3621593672,Segment 0,До внедрения роботов,3,0.25,0,0
cst_6294643004,Segment 0,До внедрения роботов,0,0.17,0,0
cst_3720895173,Segment 0,До внедрения роботов,0,0.35,0,0
cst_6355865788,Segment 0,До внедрения роботов,3,1.03,0,0
cst_2873410223,Segment 0,До внедрения роботов,0,0.05,0,0
cst_0674255061,Segment 0,До внедрения роботов,3,0.37,0,0
cst_2607548712,Segment 0,До внедрения роботов,0,0.95,0,0
cst_6026102296,Segment 0,До внедрения роботов,0,0.44,0,0
cst_3426884030,Segment 0,До внедрения роботов,5,1.03,0,0
cst_3513145979,Segment 0,До внедрения роботов,0,0.22,0,0
cst_6293460023,Segment 0,До внедрения роботов,4,0.32,1,0
cst_1470774302,Segment 0,До внедрения роботов,0,0.76,0,0
cst_3367167770,Segment 0,До внедрения роботов,4,1.26,0,0
cst_5425303542,Segment 0,До внедрения роботов,5,0.34,0,0
cst_3581847928,Segment 0,До внедрения роботов,0,0.12,0,0
cst_5106667527,Segment 0,До внедрения роботов,4,0.36,0,0
cst_7238785267,Segment 0,До внедрения роботов,4,0.41,0,0
cst_7801092567,Segment 0,До внедрения роботов,0,0.4,0,0
cst_3424507613,Segment 0,До внедрения роботов,3,0.01,0,0
cst_3191379505,Segment 0,До внедрения роботов,0,0.69,0,0
cst_2604639166,Segment 0,До внедрения роботов,2,0.65,0,0
cst_6749838532,Segment 0,До внедрения роботов,2,0.81,0,0
cst_4186757789,Segment 0,До внедрения роботов,1,0.5,0,0
cst_0481493740,Segment 0,До внедрения роботов,6,0.94,0,0
cst_8754378056,Segment 0,До внедрения роботов,0,0.96,0,0
cst_6110699700,Segment 0,До внедрения роботов,3,0.1,0,0
cst_6767123450,Segment 0,До внедрения роботов,5,0.74,0,0
cst_3021398430,Segment 0,До внедрения роботов,3,0.58,0,0
cst_5804644846,Segment 0,До внедрения роботов,3,0.2,0,0
cst_3950493252,Segment 0,До внедрения роботов,6,0.27,0,0
cst_5114301078,Segment 0,До внедрения роботов,3,0.74,0,0
cst_4899970782,Segment 0,До внедрения роботов,0,0.14,0,0
cst_8482557444,Segment 0,До внедрения роботов,0,0.08,0,0
cst_0671870668,Segment 0,До внедрения роботов,0,0.3,0,0
cst_8814125213,Segment 0,До внедрения роботов,1,0.51,0,0
cst_5534705004,Segment 0,До внедрения роботов,0,0.93,0,0
cst_9941826745,Segment 0,До внедрения роботов,0,0.28,0,0
cst_1029958206,Segment 0,До внедрения роботов,2,0.04,0,0
cst_4931309836,Segment 0,До внедрения роботов,5,0.65,0,0
cst_1809492885,Segment 0,До внедрения роботов,4,0.6,0,0
cst_1590999583,Segment 0,До внедрения роботов,1,0.64,0,0
cst_7535444858,Segment 0,До внедрения роботов,0,0.63,0,0
cst_6998966135,Segment 0,До внедрения роботов,0,0.56,0,0
cst_2529677739,Segment 0,До внедрения роботов,0,0.34,0,0
cst_4425044167,Segment 0,До внедрения роботов,1,0.03,0,0
cst_8691226152,Segment 0,До внедрения роботов,1,0.41,0,0
cst_2469311765,Segment 0,До внедрения роботов,1,0.12,0,0
cst_9670653549,Segment 0,До внедрения роботов,4,0.55,0,0
cst_0221793718,Segment 0,До внедрения роботов,4,0.51,0,0
cst_7020790629,Segment 0,До внедрения роботов,6,0.27,0,0
cst_3622010176,Segment 0,До внедрения роботов,5,0.11,0,0
cst_5504704467,Segment 0,До внедрения роботов,0,0.3,0,0
cst_5461792934,Segment 0,До внедрения роботов,4,0.28,0,0
cst_1567275686,Segment 0,До внедрения роботов,0,0.71,0,0
cst_0389145414,Segment 0,До внедрения роботов,0,0.69,0,0
cst_9000493926,Segment 0,До внедрения роботов,4,0.43,0,0
cst_4494064413,Segment 0,До внедрения роботов,4,0.07,0,0
cst_6034681792,Segment 0,До внедрения роботов,1,0.05,0,0
cst_8687227107,Segment 0,До внедрения роботов,1,0.16,0,0
cst_3498503426,Segment 0,До внедрения роботов,0,0.03,0,0
cst_5709532436,Segment 0,До внедрения роботов,1,0.73,0,0
cst_0930776953,Segment 0,До внедрения роботов,1,0.12,0,0
cst_5346312094,Segment 0,До внедрения роботов,2,0.03,0,0
cst_0247400733,Segment 0,До внедрения роботов,1,0.23,0,0
cst_3193974749,Segment 0,До внедрения роботов,3,0.57,0,0
cst_9703812459,Segment 0,До внедрения роботов,0,0.07,0,0
cst_1430779281,Segment 0,До внедрения роботов,3,2.0,0,0
cst_0826132859,Segment 0,До внедрения роботов,4,0.2,0,0
cst_6029417324,Segment 0,До внедрения роботов,3,0.47,0,0
cst_9368795114,Segment 0,До внедрения роботов,0,0.73,0,0
cst_7438463787,Segment 0,До внедрения роботов,9,0.12,1,0
cst_0158830114,Segment 0,До внедрения роботов,0,0.0,0,0
cst_0973490291,Segment 0,До внедрения роботов,5,0.81,0,0
cst_3573928973,Segment 0,До внедрения роботов,6,0.18,0,0
cst_1562154771,Segment 0,До внедрения роботов,0,1.17,0,0
cst_3115375151,Segment 0,До внедрения роботов,0,0.1,0,0
cst_8561136986,Segment 0,До внедрения роботов,5,0.0,0,0
cst_9458976388,Segment 0,До внедрения роботов,0,0.25,0,0
cst_2595270274,Segment 0,До внедрения роботов,1,0.82,0,0
cst_7188125610,Segment 0,До внедрения роботов,4,0.7,0,0
cst_4433416517,Segment 0,До внедрения роботов,7,0.49,0,0
cst_7075152308,Segment 0,До внедрения роботов,1,0.05,0,0
cst_2813497177,Segment 0,До внедрения роботов,5,0.18,0,0
cst_7272419683,Segment 0,До внедрения роботов,0,0.87,0,0
cst_2799637493,Segment 0,До внедрения роботов,0,0.04,0,0
cst_5818976188,Segment 0,До внедрения роботов,0,0.9,0,0
cst_0503367729,Segment 0,До внедрения роботов,2,0.96,0,0
cst_4815940710,Segment 0,До внедрения роботов,3,1.06,0,0
cst_5341809720,Segment 0,До внедрения роботов,0,1.37,0,0
cst_9312154004,Segment 0,До внедрения роботов,1,1.02,0,0
cst_7028599693,Segment 0,До внедрения роботов,0,0.77,0,0
cst_9720760142,Segment 0,До внедрения роботов,7,0.85,0,0
cst_9532547574,Segment 0,До внедрения роботов,2,0.27,0,0
cst_6745353107,Segment 0,До внедрения роботов,0,0.15,0,0
cst_7571893937,Segment 0,До внедрения роботов,8,0.07,1,0
cst_8933910026,Segment 0,До внедрения роботов,2,0.6,0,0
cst_5909712412,Segment 0,До внедрения роботов,0,1.37,0,0
cst_8688990761,Segment 0,До внедрения роботов,2,0.24,0,0
cst_3564502108,Segment 0,До внедрения роботов,2,0.38,0,0
cst_4359012841,Segment 0,До внедрения роботов,0,0.39,0,0
cst_8700620358,Segment 0,До внедрения роботов,0,0.05,0,0
cst_6085431292,Segment 0,До внедрения роботов,2,0.28,0,0
cst_4638951903,Segment 0,До внедрения роботов,4,0.19,0,0
cst_5300367122,Segment 0,До внедрения роботов,1,0.21,0,0
cst_5188713525,Segment 0,До внедрения роботов,3,0.54,0,0
cst_7645351588,Segment 0,До внедрения роботов,5,0.74,0,0
cst_0241067287,Segment 0,До внедрения роботов,6,1.18,0,0
cst_7686226003,Segment 0,До внедрения роботов,3,0.72,0,0
cst_0169893758,Segment 0,До внедрения роботов,0,0.3,0,0
cst_4192877567,Segment 0,До внедрения роботов,4,0.22,0,0
cst_1812398848,Segment 0,До внедрения роботов,2,0.55,0,0
cst_2218321171,Segment 0,До внедрения роботов,5,0.32,0,0
cst_4885990311,Segment 0,До внедрения роботов,2,0.24,0,0
cst_3665590544,Segment 0,До внедрения роботов,0,0.52,0,0
cst_0060449632,Segment 0,До внедрения роботов,7,0.67,0,0
cst_3380150365,Segment 0,До внедрения роботов,5,0.59,0,0
cst_0358077909,Segment 0,До внедрения роботов,1,0.45,0,0
cst_2146957809,Segment 0,До внедрения роботов,5,1.7,0,0
cst_8189164292,Segment 0,До внедрения роботов,2,0.5,0,0
cst_1331463177,Segment 0,До внедрения роботов,3,0.72,0,0
cst_3150515677,Segment 0,До внедрения роботов,5,1.09,0,0
cst_0133750556,Segment 0,До внедрения роботов,0,0.3,0,0
cst_6405550374,Segment 0,До внедрения роботов,3,0.83,0,0
cst_9365821788,Segment 0,До внедрения роботов,2,1.29,0,0
cst_0338935221,Segment 0,До внедрения роботов,0,1.59,0,0
cst_4740742178,Segment 0,До внедрения роботов,0,0.44,0,0
cst_3743348692,Segment 0,До внедрения роботов,3,0.22,0,0
cst_5801719275,Segment 0,До внедрения роботов,0,1.36,0,0
cst_2202528175,Segment 0,До внедрения роботов,0,0.59,0,0
cst_5007920508,Segment 0,До внедрения роботов,0,0.0,0,0
cst_9375423602,Segment 0,До внедрения роботов,0,0.49,0,0
cst_6618836129,Segment 0,До внедрения роботов,1,0.03,0,0
cst_6594981322,Segment 0,До внедрения роботов,3,0.69,0,0
cst_5249786069,Segment 0,До внедрения роботов,1,0.13,0,0
cst_5346672223,Segment 0,До внедрения роботов,0,0.01,0,0
cst_7054021757,Segment 0,До внедрения роботов,5,0.83,0,0
cst_5160319367,Segment 0,До внедрения роботов,2,0.62,0,0
cst_1978355444,Segment 0,До внедрения роботов,0,0.19,0,0
cst_0357584834,Segment 0,До внедрения роботов,2,1.06,1,0
cst_9649262627,Segment 0,До внедрения роботов,3,0.6,0,0
cst_7183371719,Segment 0,До внедрения роботов,2,0.32,0,0
cst_7279232283,Segment 0,До внедрения роботов,2,0.19,0,0
cst_4834984680,Segment 0,До внедрения роботов,0,0.06,0,0
cst_8404543175,Segment 0,До внедрения роботов,4,0.13,0,0
cst_4016464881,Segment 0,До внедрения роботов,1,0.37,0,0
cst_4059602775,Segment 0,До внедрения роботов,4,0.03,0,0
cst_1120102830,Segment 0,До внедрения роботов,2,0.22,0,0
cst_1050586357,Segment 0,До внедрения роботов,2,0.1,0,0
cst_8315126789,Segment 0,До внедрения роботов,0,0.81,0,0
cst_1515294421,Segment 0,До внедрения роботов,10,0.72,1,0
cst_0445317512,Segment 0,До внедрения роботов,0,0.53,0,0
cst_6495415926,Segment 0,До внедрения роботов,1,0.5,0,0
cst_1267780841,Segment 0,До внедрения роботов,7,0.02,0,0
cst_9592631505,Segment 0,До внедрения роботов,0,0.05,0,0
cst_0729091394,Segment 0,До внедрения роботов,6,0.35,0,0
cst_7711191701,Segment 0,До внедрения роботов,3,0.3,0,0
cst_1118319824,Segment 0,До внедрения роботов,0,0.54,0,0
cst_6190395718,Segment 0,До внедрения роботов,10,0.19,1,0
cst_3559488818,Segment 0,До внедрения роботов,0,0.06,0,0
cst_1891256820,Segment 0,До внедрения роботов,0,0.67,0,0
cst_3337330983,Segment 0,До внедрения роботов,0,0.63,0,0
cst_1164048680,Segment 0,До внедрения роботов,2,0.32,0,0
cst_4742806338,Segment 0,До внедрения роботов,2,0.12,0,0
cst_0750311055,Segment 0,До внедрения роботов,0,0.65,0,0
cst_0961868079,Segment 0,До внедрения роботов,4,0.38,0,0
